Partly Cloudy,9.472222222222221,0.89,1015.13
Partly Cloudy,9.355555555555558,0.86,1015.63
Mostly Cloudy,9.377777777777778,0.89,1015.94
Partly Cloudy,8.28888888888889,0.83,1016.41
Mostly Cloudy,8.755555555555553,0.83,1016.51
Partly Cloudy,9.222222222222221,0.85,1016.66
Partly Cloudy,7.733333333333334,0.95,1016.72
Partly Cloudy,8.77222222222222,0.89,1016.84
Partly Cloudy,10.82222222222222,0.82,1017.37
Partly Cloudy,13.77222222222222,0.72,1017.22
Partly Cloudy,16.016666666666666,0.67,1017.42
Partly Cloudy,17.144444444444446,0.54,1017.74
Partly Cloudy,17.800000000000004,0.55,1017.59
Partly Cloudy,17.333333333333332,0.51,1017.48
Partly Cloudy,18.87777777777778,0.47,1017.17
Partly Cloudy,18.911111111111115,0.46,1016.47
Partly Cloudy,15.38888888888889,0.6,1016.15
Mostly Cloudy,15.550000000000002,0.63,1016.17
Mostly Cloudy,14.255555555555553,0.69,1015.82
Mostly Cloudy,13.144444444444442,0.7,1015.83
Mostly Cloudy,11.549999999999999,0.77,1015.85
Mostly Cloudy,11.183333333333334,0.76,1015.77
Partly Cloudy,10.116666666666667,0.79,1015.4
Mostly Cloudy,10.2,0.77,1015.51
Partly Cloudy,10.42222222222222,0.62,1014.4
Partly Cloudy,9.911111111111113,0.66,1014.2
Mostly Cloudy,11.183333333333334,0.8,1008.71
Partly Cloudy,7.155555555555556,0.79,1014.47
Partly Cloudy,6.111111111111111,0.82,1014.45
Partly Cloudy,6.788888888888888,0.83,1014.49
Mostly Cloudy,7.26111111111111,0.85,1014.52
Mostly Cloudy,7.799999999999999,0.83,1014.16
Mostly Cloudy,9.872222222222225,0.78,1014.24
Mostly Cloudy,12.222222222222221,0.72,1014.25
Mostly Cloudy,15.094444444444447,0.61,1013.96
Mostly Cloudy,17.355555555555558,0.52,1013.85
Mostly Cloudy,19.00555555555555,0.46,1013.04
Mostly Cloudy,20.04444444444444,0.4,1012.22
Mostly Cloudy,21.049999999999997,0.4,1011.44
Mostly Cloudy,21.18333333333333,0.37,1010.52
Mostly Cloudy,20.11666666666666,0.4,1009.83
Mostly Cloudy,20.216666666666665,0.36,1009.26
Mostly Cloudy,20.0,0.43,1008.76
Mostly Cloudy,17.800000000000004,0.5,1008.36
Mostly Cloudy,16.06111111111111,0.53,1008.11
Mostly Cloudy,15.02222222222222,0.55,1008.15
Overcast,14.422222222222224,0.58,1007.85
Overcast,14.255555555555553,0.59,1007.89
Overcast,13.77222222222222,0.6,1007.36
Overcast,13.283333333333331,0.63,1007.26
Overcast,8.633333333333333,0.87,1005.1
Overcast,11.25,0.83,1007.01
Overcast,11.183333333333334,0.89,1006.73
Overcast,10.694444444444445,0.95,1006.59
Mostly Cloudy,11.11111111111111,0.93,1006.34
Mostly Cloudy,11.11111111111111,0.93,1006.09
Partly Cloudy,12.166666666666666,0.82,1005.97
Partly Cloudy,12.755555555555556,0.79,1005.63
Partly Cloudy,13.838888888888887,0.84,1005.83
Partly Cloudy,16.183333333333334,0.73,1005.97
Mostly Cloudy,17.516666666666666,0.67,1005.64
Mostly Cloudy,17.383333333333333,0.67,1005.2
Mostly Cloudy,17.36111111111111,0.71,1005.1
Mostly Cloudy,17.205555555555556,0.74,1004.65
Mostly Cloudy,15.633333333333333,0.81,1004.04
Overcast,13.577777777777776,0.9,1004.08
Foggy,10.911111111111111,0.86,1004.61
Foggy,8.800000000000002,0.99,1004.99
Overcast,8.961111111111112,0.93,1004.85
Overcast,8.199999999999998,0.96,1004.96
Overcast,7.688888888888891,0.96,1005.14
Overcast,7.766666666666664,0.96,1005.05
Foggy,8.199999999999998,0.96,1004.8
Foggy,8.177777777777777,0.93,1004.89
Mostly Cloudy,7.311111111111109,0.82,1007.0
Overcast,7.644444444444442,0.93,1004.3
Overcast,6.622222222222224,0.93,1003.68
Overcast,6.683333333333334,0.93,1003.86
Overcast,6.0888888888888895,0.93,1003.57
Overcast,6.066666666666667,0.93,1003.96
Breezy and Mostly Cloudy,6.144444444444446,0.93,1004.1
Breezy and Mostly Cloudy,7.1333333333333355,0.8,1004.26
Overcast,7.205555555555555,0.86,1004.18
Mostly Cloudy,7.566666666666666,0.84,1004.23
Mostly Cloudy,8.900000000000002,0.77,1004.47
Mostly Cloudy,9.961111111111112,0.71,1004.52
Mostly Cloudy,9.888888888888888,0.71,1004.29
Mostly Cloudy,11.066666666666668,0.71,1003.93
Overcast,10.116666666666667,0.76,1004.0
Overcast,11.038888888888888,0.66,1004.3
Overcast,10.65,0.7,1004.0
Overcast,10.050000000000002,0.7,1004.39
Mostly Cloudy,9.899999999999999,0.66,1005.48
Overcast,8.794444444444444,0.71,1005.89
Mostly Cloudy,7.827777777777779,0.72,1006.37
Overcast,7.855555555555556,0.72,1006.56
Mostly Cloudy,7.316666666666667,0.75,1007.07
Overcast,7.244444444444444,0.75,1007.37
Partly Cloudy,5.438888888888888,0.88,1012.23
Overcast,7.200000000000001,0.76,1007.28
Overcast,6.688888888888888,0.7,1007.18
Overcast,6.211111111111111,0.73,1007.39
Overcast,6.111111111111111,0.76,1007.67
Overcast,6.111111111111111,0.76,1007.98
Overcast,6.172222222222222,0.76,1008.57
Overcast,7.222222222222222,0.71,1008.87
Overcast,7.288888888888888,0.73,1009.44
Overcast,7.405555555555555,0.72,1010.03
Overcast,7.96111111111111,0.7,1010.22
Overcast,8.033333333333335,0.7,1010.39
Overcast,9.07777777777778,0.65,1010.24
Overcast,9.049999999999999,0.62,1010.0
Overcast,9.049999999999999,0.65,1009.98
Overcast,9.183333333333334,0.65,1010.05
Overcast,9.072222222222221,0.7,1010.1
Overcast,7.9833333333333325,0.75,1010.39
Overcast,8.072222222222223,0.75,1010.91
Overcast,7.894444444444446,0.82,1011.32
Overcast,7.311111111111109,0.83,1011.61
Mostly Cloudy,7.33888888888889,0.84,1011.97
Mostly Cloudy,6.622222222222224,0.85,1012.22
Partly Cloudy,6.066666666666667,0.88,1012.74
Partly Cloudy,8.338888888888887,0.88,1015.35
Mostly Cloudy,5.183333333333333,0.91,1013.29
Mostly Cloudy,3.7222222222222237,0.94,1013.39
Mostly Cloudy,4.855555555555557,0.93,1013.45
Foggy,5.211111111111112,0.92,1013.4
Overcast,6.255555555555555,0.92,1013.81
Mostly Cloudy,7.794444444444445,0.87,1014.7
Mostly Cloudy,10.050000000000002,0.76,1014.67
Mostly Cloudy,12.200000000000001,0.66,1014.66
Mostly Cloudy,12.7,0.63,1014.8
Partly Cloudy,13.933333333333332,0.58,1014.47
Partly Cloudy,15.094444444444447,0.59,1014.16
Mostly Cloudy,15.150000000000002,0.5,1014.07
Partly Cloudy,16.177777777777777,0.44,1013.34
Partly Cloudy,16.25,0.55,1012.72
Partly Cloudy,16.29444444444444,0.5,1012.38
Partly Cloudy,16.099999999999998,0.56,1012.38
Partly Cloudy,12.955555555555556,0.68,1012.72
Mostly Cloudy,13.850000000000001,0.64,1013.42
Mostly Cloudy,12.777777777777779,0.69,1014.41
Mostly Cloudy,12.149999999999999,0.72,1014.89
Mostly Cloudy,10.677777777777777,0.81,1014.91
Mostly Cloudy,10.444444444444443,0.83,1014.75
Mostly Cloudy,9.822222222222223,0.8,1015.55
Mostly Cloudy,11.027777777777779,0.74,1015.7
Mostly Cloudy,7.138888888888889,0.93,1016.43
Mostly Cloudy,7.622222222222222,0.89,1016.56
Mostly Cloudy,7.6277777777777755,0.86,1017.15
Mostly Cloudy,7.044444444444444,0.86,1017.37
